model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.8.16.0.2.4,0.4122503854594648,0.3413707046691121,0.2989556937777724,0.2626835891927211,0.7855637669563293,0.7377924919128418,0.7584183812141418,0.3984240980528823,0.496509345225835,0.4216511711114601,0.284684033703899,0.3436313157632906,0.2959549812079508,0.3917133672022222,0.4671413286787259,0.4021549833024598,0.3811896550221318
Baichuan-M1-14B-Instruct,0.542121482642695,0.4857084791689735,0.4478016323442718,0.4119052865883057,0.8039454221725464,0.84649258852005,0.8226339817047119,0.6716597907709612,0.5734001958903939,0.5998616498778665,0.5301360156254984,0.4434339443334186,0.4644614606577927,0.6161133356118011,0.5080967586430306,0.5347180339895351,0.5685268676751443
Baichuan2-13B-Chat,0.3786109078337126,0.3219411323647193,0.2872985341340395,0.2568083729675627,0.7564180493354797,0.7475610375404358,0.7498302459716797,0.4350500103419711,0.5214100395722613,0.4431018344006781,0.3163499114889748,0.3725899087178737,0.3179682540293186,0.41932872044384,0.3849921564566798,0.3705561086357635,0.3874528486832223
Baichuan2-7B-Chat,0.4753952008275057,0.3955870001922592,0.3464270935837806,0.3046955273742287,0.7890539169311523,0.7861239910125732,0.7858008146286011,0.4828003945003343,0.5176962131585228,0.4841089605477343,0.336189727640575,0.3472117332308017,0.3279849810700287,0.4627346983113515,0.4736545913726056,0.4493149331310745,0.449415861477956
Bentao,0.3957481941800892,0.3083763049759075,0.264062851076478,0.2268526692779656,0.7326945662498474,0.7251026630401611,0.7278474569320679,0.3873024602911235,0.4216627768321958,0.3933949710139103,0.2472847267377008,0.2458789410872722,0.2383556373440698,0.390957990083013,0.3622422241789463,0.3631106308242935,0.3850831476367766
BianCang-Qwen2.5-7B-Instruct,0.2831902776154865,0.2327365850289506,0.2026752464580662,0.1767181769569678,0.7477858662605286,0.6837964653968811,0.712317705154419,0.3188147275737032,0.5253357173100337,0.3737750432237907,0.208035384033589,0.3209931609883157,0.2359912608892472,0.3033592110149828,0.3718516558979394,0.3013100428651472,0.2767878291780331
BianQue-2,0.2830286741347541,0.2091232899345199,0.1693754741786724,0.1369854211767827,0.7377859950065613,0.6758103966712952,0.7037744522094727,0.2787770869731069,0.422694433919688,0.316917315318598,0.1375576784118758,0.2000275558398047,0.1534631937263067,0.2667171176813159,0.3602623595251032,0.2882954003122441,0.2264591498247234
chatglm3-6b,0.2841272390696019,0.222386906606058,0.1897592446756066,0.1634696853986368,0.725022554397583,0.65560382604599,0.6873391270637512,0.2747792705111826,0.4268455954569533,0.3199527181421863,0.1674891747151994,0.2382724566830944,0.1881999189632559,0.266249686088011,0.4031647133046338,0.3028824085940645,0.2584472243450265
chatmed,0.3965472102310751,0.310452728665555,0.2669985763126166,0.2307691183081874,0.7335575222969055,0.7245370745658875,0.7279865741729736,0.3876919209655552,0.4250749180237625,0.3951782320026289,0.2525223783969266,0.2519555455830749,0.2438482749249531,0.3907102234237694,0.359737015005541,0.361715071853157,0.3866046706174843
DeepSeek-R1-Distill-Qwen-14B,0.4569283565066473,0.3787931923028048,0.3306313271455418,0.2894619811045242,0.7992917895317078,0.7758020162582397,0.785186767578125,0.4587621038500903,0.5189228210606771,0.468824187996659,0.3231249681046569,0.3605384276293473,0.3249182033152963,0.4468290170726503,0.48952001106014,0.4451732518359215,0.4308879437393545
