model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
Baichuan2-13B-Chat,0.3292764013519061,0.2127073338548875,0.1458203161337165,0.0978213554753014,0.7074813842773438,0.7004203200340271,0.7035213708877563,0.2640799734443789,0.2896467962685266,0.268468020820401,0.0761832783548245,0.0746773692527528,0.0726571043490491,0.2564982408838092,0.1993251059191013,0.2160452897220833,0.2045566009312551
Baichuan2-7B-Chat,0.2912659940279335,0.1848142768040227,0.1258194405396445,0.0832204785739016,0.6909605860710144,0.7156153917312622,0.7028254270553589,0.3046940388923428,0.2311389147646833,0.2583233831031243,0.0885517660641828,0.0567666622884692,0.0677502339713141,0.2921875354564373,0.1578775399884385,0.200432360829755,0.2232967837554748
Bentao,0.3873605512118403,0.2534120328902357,0.1734535336955055,0.1174079760054451,0.7017985582351685,0.7267085909843445,0.7137998938560486,0.3641214224258242,0.3284120053230568,0.3400733211140162,0.1113774484887716,0.1008436273506102,0.103596382307688,0.2452490068118729,0.2087542374908501,0.2201811451921006,0.2474003989027283
BianCang-Qwen2.5-7B-Instruct,0.2040517385223939,0.1442500798645819,0.1084969679614434,0.0816130455875428,0.6978541016578674,0.6682239770889282,0.6814676523208618,0.2086564079433314,0.3891137698841221,0.2626482677116621,0.0778681779346635,0.1365868831511487,0.0954641899763135,0.1733566818972853,0.2168396871997484,0.1717770113986017,0.1452249241313875
BianQue-2,0.2808361932605688,0.173851717472663,0.1155965881378264,0.0745742602246876,0.6857303977012634,0.671974241733551,0.6784111261367798,0.224316078574183,0.2638092534198963,0.2348760762701524,0.0541428155347493,0.0592413337525129,0.0543757657135589,0.2221522579999622,0.1925527217463593,0.1918397851165785,0.1762184854185703
chatglm3-6b,0.343456104547882,0.2350350020895301,0.1707410064612952,0.1238883460672586,0.7275843620300293,0.7153463959693909,0.7208634614944458,0.304877517696079,0.336887081610794,0.3077350959983399,0.1053585353266034,0.1073242696161966,0.1012431969750055,0.2648102537177241,0.2417165682404407,0.237048059922932,0.2305245788278573
chatmed,0.3882106918069217,0.2538927637505874,0.1754310727096648,0.1211659260248239,0.7004126310348511,0.7251871824264526,0.7123404145240784,0.3632685101394244,0.3299327491128059,0.3404752903754658,0.114860965198803,0.1044176480398626,0.1070540566280653,0.2456101040509923,0.2073679275032269,0.2195385441643851,0.250588295898934
DeepSeek-R1-Distill-Qwen-14B,0.2925725882507901,0.1952993768568123,0.1365450649039489,0.0930529858304242,0.6818193793296814,0.7285793423652649,0.7040212750434875,0.3882090385306942,0.2597121200001001,0.3027556572712092,0.1215998322866307,0.0681329695631727,0.0839828708800845,0.3044061944530846,0.1474028347728848,0.1898431587626035,0.2564564925634662
DeepSeek-R1-Distill-Qwen-32B,0.2765469155347062,0.1833651175903274,0.128052967386265,0.0877890441736901,0.6782694458961487,0.7267903685569763,0.7012926936149597,0.3778406462354184,0.2509833329960764,0.2931352267662738,0.1194099705013196,0.0635350027120369,0.0801649149759807,0.3069681534574331,0.1411554780268539,0.1853111829611796,0.2465473090057791
DeepSeek-R1-Distill-Qwen-7B,0.2621486683124931,0.1676146661372447,0.1146686897465388,0.0771355789782409,0.6663833856582642,0.7078563570976257,0.6861076951026917,0.3254620874121612,0.237223680565893,0.2672329013308364,0.0982700428415736,0.056201500016291,0.0692041165459666,0.2870815089944393,0.1341577960451031,0.1751673931962601,0.222988434413377
