model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.64.128.0.2.4,0.6484678990975558,0.5791958848101005,0.5234979027942582,0.4774103922094265,0.8064624071121216,0.8052945733070374,0.8032267689704895,0.5499966659858095,0.5636040875711088,0.544385114646242,0.3423181217923139,0.3489116346936252,0.3370466598369494,0.4965092635889721,0.5047426694219301,0.4880498023574562,0.5449296750967615
14B.8.16.0.2.4,0.6225295698210862,0.5553432128336983,0.5021658768139804,0.4591205666969628,0.794865608215332,0.79634028673172,0.7926642894744873,0.5334410437276261,0.5391916336429747,0.523477728699318,0.3406689984715731,0.3431718301829227,0.332699638462837,0.4824261912075308,0.4829176114473948,0.4692370492588152,0.5306753749482283
Baichuan-M1-14B-Instruct,0.5410402633538184,0.4768524784073569,0.4267451452191589,0.3839345208063993,0.7648850083351135,0.7167618870735168,0.7361704707145691,0.4354971288456756,0.4331089052201466,0.423588141768224,0.2667261005430557,0.2621964446860021,0.2571763113107022,0.3971756272659762,0.3956317310147667,0.385496018377834,0.465982675624695
Baichuan2-13B-Chat,0.5939542209530646,0.5178704576084234,0.4585489215285779,0.4097808804618367,0.7922021746635437,0.7256947159767151,0.753366231918335,0.4423590644535722,0.4619044016078135,0.4398383092607009,0.2564815663035168,0.2634254045977028,0.2524641219652908,0.395603812907186,0.4123896629627546,0.3916826455096733,0.4819901405923664
Baichuan2-7B-Chat,0.3930753664751782,0.3422554765751484,0.3015383038858403,0.2678691626219763,0.6950329542160034,0.6918042898178101,0.69065922498703,0.3639396779792318,0.3193377934246648,0.3289011215654238,0.2204995811310396,0.1919406502891367,0.197914894956703,0.3316152381000162,0.2873570538731164,0.2965009815903779,0.3498660211633781
Bentao,0.0482701988269221,0.0453810809965569,0.0433105205014027,0.0388966528560235,0.479270875453949,0.7343102693557739,0.578863263130188,0.7930946356062281,0.0613599809241321,0.1130666294680718,0.4826180162247068,0.0216753184404245,0.0412379002594633,0.6925155819786747,0.0250534046998578,0.0481072058028115,0.1848427012608076
BianCang-Qwen2.5-7B-Instruct,0.6083278895870065,0.5395632695155699,0.4863502995924808,0.4420630288463772,0.787149965763092,0.7715835571289062,0.7759018540382385,0.5008083955960005,0.5069209946934211,0.4911461802421732,0.3074173642086905,0.3082237836391114,0.2990000818240831,0.4511419515920593,0.4516724457843873,0.4382635403700025,0.5143110886215382
BianQue-2,0.0171379029599863,0.005239568683063,0.0036656180223079,0.0029005050419558,0.4617114663124084,0.4826622903347015,0.4705080091953277,0.0595535100957309,0.037226785013594,0.0354153174771297,0.0157003498359972,0.0024280074296008,0.0038843841565218,0.056426224438199,0.0315869246955156,0.028506185763459,0.0246620451204765
chatglm3-6b,0.3394612860415002,0.2993661005886793,0.2664619162595921,0.2387035093533893,0.6656244993209839,0.710686445236206,0.6856110692024231,0.3916547826303756,0.2947988782820516,0.3271818031984086,0.2456990824433548,0.1784654582963191,0.2011050247276478,0.3575570572508109,0.2640475864085837,0.2944551879624593,0.3518333162640005
chatmed,0.0468596105603526,0.0440426238020403,0.0420429241139886,0.0377415501885263,0.4791069328784942,0.7340725660324097,0.5786728858947754,0.7932260510320475,0.0612168430868317,0.1128265380064418,0.4829017384665172,0.0215949661837576,0.0410959563309261,0.6937815347868539,0.0245053699974473,0.0471059046065671,0.1801610073406535
DeepSeek-R1-Distill-Qwen-14B,0.4084785834773636,0.3631476130522654,0.3263790846728485,0.2934468951409758,0.7020992040634155,0.7139331698417664,0.7053816914558411,0.4170351066607844,0.3508941576641608,0.3720603815684871,0.267095950997666,0.2204754666683245,0.2353190584950616,0.3822339883932372,0.3186604405517288,0.3383280080736486,0.3989775656218335
DeepSeek-R1-Distill-Qwen-32B,0.4630335335477699,0.4072728570123988,0.362968998787424,0.3254257511027633,0.7233052253723145,0.7203320264816284,0.7185891270637512,0.4385918688226852,0.3670969151894726,0.3899688843708674,0.2694570013154444,0.2208692436834364,0.2356073147598336,0.3954208937634803,0.3271712358315236,0.347937475806434,0.4329868856579443
DeepSeek-R1-Distill-Qwen-7B,0.3504026214640011,0.3067006504827893,0.2707552565168156,0.2391981897594992,0.683958113193512,0.6920348405838013,0.6859808564186096,0.3598887345988292,0.3168069427767456,0.3277016631049732,0.2178613039529703,0.1885442986193777,0.1961262323101333,0.3203789871404037,0.2810191321365926,0.2901212290325786,0.3292656756580615
deepseek-r1,0.2601607439344764,0.2290670740572761,0.2032073282126036,0.1785038213452752,0.6131700873374939,0.7516513466835022,0.6699339747428894,0.6379363993215867,0.2035256838931186,0.277127300859213,0.3334389700704477,0.0918205979301758,0.122829726140989,0.5581487484294759,0.1445454378385341,0.1940745213725654,0.38118864475462
deepseek-v3,0.6439843874993328,0.5667953196063761,0.5074603126793197,0.4569075445823902,0.7887914180755615,0.7499620914459229,0.7646982073783875,0.5162451098794466,0.4527952103925199,0.472301553589064,0.3107255211170024,0.2675042490939238,0.2809292554847413,0.4675732572713122,0.4043349910765921,0.4234436856285934,0.5649273402578004
gpt-3.5-turbo,0.6293184299551716,0.5468429356166103,0.4834159111536649,0.430689632753276,0.7891978621482849,0.7332485318183899,0.7559289932250977,0.4792196275833433,0.4456270592331772,0.4517416469847998,0.271024900989237,0.2503759794682355,0.2536702917168024,0.4283239151955271,0.3992283546998911,0.4030089208726553,0.5231302039216141
gpt-4o,0.637204802909837,0.5581820804627241,0.4964029115333415,0.4446761497477343,0.795886218547821,0.7352874875068665,0.7600322365760803,0.4858678537419026,0.4651174296217866,0.4645505474413029,0.2834683624026083,0.2684280679834026,0.2684385527157971,0.4385638726173367,0.4209310742918549,0.4187116244296121,0.5343629200847279
HuatuoGPT2-13B,0.2145838950075551,0.1808074735027102,0.1527873607928089,0.1286976353440435,0.6195369362831116,0.6596923470497131,0.6367604732513428,0.2741376051926985,0.2043774633687203,0.2200123721559201,0.1425997779306073,0.1014029245896843,0.1101104828795922,0.2499153975022218,0.1770746573987935,0.1926501758018079,0.2157899225485589
Lingdan-13B-Base,0.0473346127677316,0.0446160829219424,0.0427016337928702,0.038419499583297,0.4780100584030151,0.7351473569869995,0.5782660245895386,0.7980936573590426,0.0606578734911361,0.1119699690597579,0.4913779330332223,0.0215859298015726,0.0411150834397133,0.7021487962388686,0.0247479649725841,0.0475703255699197,0.1838352298596344
Lingdan-13B-PR,0.0471625083325715,0.04444132807731,0.0425230969130116,0.0382505691909534,0.4780500531196594,0.7353968620300293,0.5783627033233643,0.7979714702381715,0.0601504419694476,0.1111069528229885,0.490487995084461,0.0213900073591861,0.0407557249048006,0.6997806703992802,0.0245292789898316,0.0471603801188086,0.1817768407338105
Llama3-8B-Chinese-Chat,0.4775137686667969,0.4141994173963228,0.3646336579823883,0.3216477475718556,0.7161183953285217,0.7182626724243164,0.7133334875106812,0.4464620810003952,0.3345022761762816,0.3709752785852538,0.2480479280725289,0.1815261243744618,0.2025160060333304,0.397899600036318,0.2918971803227025,0.3249240269142736,0.4477104440803153
Qwen2.5-14B-Instruct,0.6424110808745438,0.56918313699525,0.510463503563294,0.4622234069856045,0.7947908043861389,0.7733712196350098,0.7803657054901123,0.519948121139718,0.5000432550900438,0.4979816879226354,0.3158603301001554,0.3018500541013858,0.3007023169520799,0.4662003567888544,0.4445500112374796,0.4429243157414363,0.5420407980480526
Qwen2.5-32B-Instruct,0.6619707909393697,0.5909009904155544,0.5342810322703184,0.4868641728865862,0.8084298372268677,0.7746517062187195,0.7876995801925659,0.5324458256694081,0.5256725675875554,0.5187546965880027,0.3347256241862155,0.3264673040672663,0.3233013017582384,0.4802261823693827,0.4734156689819093,0.4663994657656034,0.5618858773031493
Qwen2.5-72B-Instruct,0.6575754687485207,0.5809036405840069,0.5211476657802212,0.4696707413373114,0.7957619428634644,0.7470644116401672,0.7663925290107727,0.5195079500781429,0.4623091507371859,0.4797693850180753,0.3109239601748875,0.2754455173431073,0.2857916671736246,0.468402893914074,0.4154713721258259,0.4307690821900457,0.576807838194557
Qwen2.5-Math-7B,0.1714669312621088,0.1393957068802268,0.1180726004040916,0.1012857340389692,0.5490586161613464,0.6566449403762817,0.5930699706077576,0.3938321073811807,0.1084384300110698,0.1464296770517417,0.1856101728796436,0.0355865946011291,0.0487834485238743,0.3554828070353615,0.0695965785056583,0.093570527892091,0.1934918068921662
ShenNong,0.0469595308010117,0.0441375156278073,0.0421354728049108,0.0378310859119143,0.4791758060455322,0.7340861558914185,0.5787253379821777,0.7935657250014829,0.0609785255099009,0.11242824819024,0.4833435758987254,0.0215170654144881,0.0409562493851051,0.6936513803564109,0.0245243153945961,0.0471396676179478,0.1811501647738504
Sunsimiao-7B,0.607737974378603,0.5303203602972943,0.4706497066382623,0.4217720329727133,0.7845994830131531,0.733123779296875,0.7539785504341125,0.4769689289440679,0.4460299938662103,0.4482972662050127,0.2770776406784317,0.2569304282580715,0.2581260392125175,0.43179663289679,0.3989383917167204,0.4015604389697735,0.5155195266173528
TCMchat,0.1070981716422932,0.0866147434234656,0.0752129388508608,0.0657690587127441,0.556107223033905,0.5875470638275146,0.5695639848709106,0.1800464992845929,0.1099891258914366,0.1213190984876791,0.1011494033979132,0.0606755737058395,0.0660821297026166,0.1646922128481756,0.0989411640397902,0.1072785064295363,0.1245441132561113
ZhongjingGPT1_13B,0.5723290126577845,0.4994684837663751,0.4421079992963668,0.3957129729537267,0.7873894572257996,0.7230436205863953,0.749575674533844,0.4325597290225244,0.4613135311055001,0.4335374612204347,0.2568750213566314,0.2697085845859083,0.2551877344477841,0.3914125679922681,0.416091592591211,0.3902539480940925,0.466848811662185
