model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
BianCang-Qwen2.5-7B-Instruct,0.2182726689554977,0.1808040643299532,0.1499490748943835,0.1251396908880847,0.7254557013511658,0.6607569456100464,0.6908350586891174,0.2068216314636026,0.4498105047576966,0.2732593521210094,0.0688326799128956,0.1769171548245769,0.0939715182773408,0.1404761525347612,0.3174029500772796,0.1797938447819501,0.152263746606741
BianQue-2,0.0103646215996517,0.0046771553762004,0.00264250242193,0.0018970635674157,0.4798892140388489,0.4050655961036682,0.4381856918334961,0.0218601032795055,0.1021016494496886,0.0317157426071001,0.0021167035527225,0.0058890448937645,0.0027420204858658,0.0176197348656924,0.1078905316931824,0.0240956286974544,0.0125070307959177
chatglm3-6b,0.1798002958587578,0.1415706661201309,0.1133824560179068,0.0915478046310294,0.6591939926147461,0.6159949898719788,0.6360117197036743,0.1613705146977672,0.2905333463618818,0.1983050196833094,0.047675825494157,0.0987646139633456,0.0601134479307041,0.1120204544929259,0.2203856233496146,0.1359727238284002,0.1196645337629116
chatmed,0.1485808854974722,0.101355423764762,0.0805394674937633,0.0656710231260858,0.5638483762741089,0.6203497648239136,0.5902506709098816,0.1718733572970114,0.1775655262673589,0.1701838091828775,0.0439609839839759,0.0481465131784125,0.0441811179578608,0.0924012204521344,0.0972855570598611,0.0894073585110212,0.1043733005597274
DeepSeek-R1-Distill-Qwen-14B,0.2506703056532601,0.2057349598996148,0.1689603056091009,0.1392862526545832,0.7137464880943298,0.6677986979484558,0.6893205642700195,0.2217496375322946,0.3873676531652197,0.2716384001162096,0.0662602384075306,0.1360122666030779,0.0842323004450185,0.136185149494092,0.2820776199796607,0.1711207338931901,0.1522205028480073
DeepSeek-R1-Distill-Qwen-32B,0.3313923356584234,0.273366481878298,0.2248463031721719,0.1853300231183956,0.6974274516105652,0.6735265851020813,0.684782862663269,0.2425652027208038,0.3380049876132275,0.2730926022159222,0.0728961056298586,0.112368918126801,0.0841747675571097,0.1514930082033934,0.2388803930217837,0.1739671745377012,0.1728126667808809
DeepSeek-R1-Distill-Qwen-7B,0.2474564728244185,0.1946467399586461,0.1557193155417905,0.1253972297982562,0.6513265371322632,0.6331563591957092,0.6416260600090027,0.1864244511073861,0.252888430879313,0.2071839359085222,0.0521603564489797,0.0761175359701745,0.0586925139044306,0.1238545865933669,0.1823466901569949,0.1375970798407239,0.1325330593989522
deepseek-r1,0.442220619831195,0.3680791765988924,0.302914700458276,0.2490182155024357,0.7105922698974609,0.7161655426025391,0.7129442691802979,0.3109225699130697,0.3413531569402966,0.3152370902836847,0.0873227073655706,0.1116424690714087,0.093746938367086,0.1755706681555174,0.2413409175540944,0.1916764519111394,0.2024865046927024
deepseek-v3,0.4183321362836171,0.3540468670505745,0.2953076752974166,0.2462731242558981,0.7271652817726135,0.7057092785835266,0.7158036828041077,0.2821100071878892,0.3820366756980405,0.3160947637214089,0.0887491866322546,0.1327438879566681,0.1024230160226842,0.1767783923626132,0.274234532596608,0.2042094861794689,0.2035682125994575
gpt-3.5-turbo,0.3657723622376794,0.3071676831595298,0.253888222768037,0.2096714600396217,0.7189269065856934,0.6914980411529541,0.7044344544410706,0.252958936806131,0.3633738573779356,0.2899991516941775,0.0723932628869485,0.1188556639977982,0.0864601800273855,0.1529587724857256,0.2659254279721503,0.184067378755811,0.1763351062134394
gpt-4o,0.3825685312633123,0.3219046525833497,0.2660383152984432,0.2193211737805005,0.7177247405052185,0.6926366090774536,0.7044515609741211,0.2567172895230869,0.3603898028776394,0.2915280053678795,0.0728982801067847,0.1161923135620154,0.0860987575241914,0.1536444814629847,0.259118923303058,0.1826779723769948,0.1786061171730509
HuatuoGPT2-13B,0.1183273115786189,0.0770023176986308,0.0538789669117814,0.0386479228540245,0.5962315797805786,0.5762205719947815,0.5855475068092346,0.1252192359360083,0.1732185039929465,0.1393628148223232,0.0280954836289564,0.0453013271704804,0.0326065955336605,0.0783410626416644,0.1316941871731212,0.0912982105515506,0.076953811594684
Lingdan-13B-Base,0.1356339198443795,0.0886577168245724,0.0690076927348617,0.0555725742943261,0.5600301027297974,0.6154538989067078,0.5859383344650269,0.1672025467321159,0.1717517114971186,0.1650540615335787,0.0413960428818771,0.0448749884421029,0.0413413769856821,0.0891934712092455,0.0933859417909548,0.0859418364543572,0.0989728202664245
Lingdan-13B-PR,0.1562398780510713,0.1079055942599294,0.0855643066214912,0.0695061062346185,0.5658668875694275,0.6236782073974609,0.5928731560707092,0.1776862028805609,0.1774505343394232,0.1729376435836891,0.0455671516376106,0.0479977765030746,0.04488595043816,0.0952334715131928,0.0967821831935459,0.0903696326243857,0.108372542016194
Llama3-8B-Chinese-Chat,0.2846797634555049,0.2342666468376512,0.1924401293030476,0.1588066722400995,0.6863119006156921,0.6524615287780762,0.6684002876281738,0.2089079303828661,0.3234956692035479,0.2453061213091664,0.0636357347537979,0.1084968395876471,0.0762872601390268,0.137981962329433,0.233874983434354,0.1624139743611789,0.1520856558407386
Qwen2.5-14B-Instruct,0.172234895671193,0.1354265680503032,0.1090336471749461,0.0888102305220957,0.662985622882843,0.6234376430511475,0.641632080078125,0.1846390859878063,0.3109309036309642,0.2214996760655677,0.0561168112688541,0.1146416331510442,0.0707858802854729,0.1131590661920135,0.2369172977478243,0.1419067364834663,0.1237840612539321
Qwen2.5-32B-Instruct,0.3565013088963871,0.2925570086236383,0.2414222835483917,0.1997775301232426,0.7415763139724731,0.7136236429214478,0.7267640829086304,0.2997053811597857,0.4341148764878406,0.3407712965563105,0.1044452011822615,0.1690093795038568,0.1217957126270313,0.1946007053422771,0.3110547446004669,0.2217927963174258,0.2149453260538551
Qwen2.5-72B-Instruct,0.3654944516263954,0.3080286148949837,0.2566241506211455,0.2139405964253901,0.7273964881896973,0.6998967528343201,0.7128885388374329,0.2752020282787176,0.3955249668129096,0.3159664406063784,0.0842729898903648,0.141087616163674,0.1015992122018869,0.1642037185619644,0.2880299401746064,0.1986642430456291,0.1914572076423128
Qwen2.5-Math-7B,0.2545854664561158,0.2160073888094423,0.1803202307693593,0.1504149506705567,0.69852614402771,0.6443862915039062,0.6690391302108765,0.1898417073677512,0.4260156510015886,0.2466366472428592,0.0610794684739814,0.1595858905289125,0.0803944421237655,0.1398677963910417,0.246300851167674,0.1498417174218485,0.1457635548209941
ShenNong,0.1478413497376307,0.1005010098317004,0.0795676136256706,0.0646630293594465,0.5629854798316956,0.6203754544258118,0.5898035764694214,0.1708852151906351,0.1759567990606082,0.1688944523110578,0.0435764140768441,0.0475692106485126,0.043711401791529,0.09250783404186,0.0971503711065805,0.0894060121396256,0.1022357599558992
Sunsimiao-7B,0.2008360592805585,0.1690962430911547,0.1413880626262044,0.1185781516885262,0.7242989540100098,0.6591503620147705,0.6893543004989624,0.2082616539638573,0.4389530402729126,0.2718765379262468,0.064790923389267,0.1682370274464941,0.0884537718801828,0.1267262083481924,0.3274104575863185,0.1705724245467838,0.1425903008615905
TCMchat,0.0543917691575751,0.0337530180360853,0.0238224562892198,0.0180576479219858,0.6141304969787598,0.5329864621162415,0.5675573348999023,0.0862408636424208,0.2978297285261748,0.1173139239584491,0.0237210473005416,0.1503098678814679,0.0353580847817694,0.0528631839913904,0.2572334343264015,0.0730492634422906,0.052231685321455
ZhongjingGPT1_13B,0.2776494006608713,0.2298980349876636,0.190328342970826,0.1584767310144897,0.7170591354370117,0.6628972887992859,0.6880872845649719,0.2282613839803843,0.3989507885261604,0.2782727363949775,0.0748629102649199,0.1532871685776157,0.0942993988564619,0.1519392442480774,0.2801182991980026,0.1802722040391439,0.1673048190556703
