model,MRR,precision@1,recall@1,precision@3,recall@3,hr@1,hr@3,nDCG
gpt-3.5-turbo,0.7040613275613276,0.5485714285714286,0.0633353268026062,0.4676190476190477,0.1619692882736926,0.1542857142857142,0.5628571428571428,0.445454636251328
gpt-4o,0.8580113378684806,0.76,0.0916176922454095,0.6761904761904755,0.2375790489684087,0.2685714285714285,0.8171428571428572,0.6065486331660882
HuatuoGPT2-13B,0.6828216090018391,0.5685714285714286,0.0697055271684661,0.4409523809523807,0.1584550490551061,0.1771428571428571,0.5285714285714286,0.3447890411532467
Lingdan-13B-Base,0.3057397782853103,0.2171428571428571,0.0184034182743626,0.1038095238095237,0.0236921333553866,0.0142857142857142,0.0857142857142857,0.2522970802811814
Lingdan-13B-PR,0.3057397782853103,0.2171428571428571,0.0184034182743626,0.1038095238095237,0.0236921333553866,0.0142857142857142,0.0857142857142857,0.2496544822142785
Llama3-8B-Chinese-Chat,0.5211523199023195,0.3742857142857143,0.0404863360157712,0.3028571428571424,0.0999042312099252,0.0457142857142857,0.28,0.2490911544179634
Qwen2.5-14B-Instruct,0.8432687074829931,0.7571428571428571,0.0878358622942005,0.6219047619047614,0.2189652812978725,0.28,0.72,0.504996032111682
Qwen2.5-32B-Instruct,0.8667095761381476,0.7857142857142857,0.0936993022787002,0.6361904761904755,0.2239304105811198,0.2828571428571428,0.7114285714285714,0.5265731571013127
Qwen2.5-72B-Instruct,0.8371883116883116,0.7285714285714285,0.0851064904340586,0.6419047619047614,0.2256156710626664,0.2885714285714286,0.7685714285714286,0.593571686052182
ShenNong,0.305501683047215,0.2171428571428571,0.0184034182743626,0.1038095238095237,0.0236921333553866,0.0142857142857142,0.0857142857142857,0.2392619410617167
Sunsimiao-7B,0.7819581422312513,0.6657142857142857,0.0772091369327189,0.5780952380952379,0.2015005629072193,0.2057142857142857,0.6628571428571428,0.4739676877804019
TCMchat,0.3840067833414801,0.3028571428571429,0.031783062439721,0.1623809523809525,0.0470782313843417,0.0342857142857142,0.1514285714285714,0.2487019080877457
ZhongjingGPT1_13B,0.7747828452648657,0.6714285714285714,0.0853028617739006,0.5100000000000005,0.1824724056419556,0.2885714285714286,0.6285714285714286,0.4301833957740197
